被投企业名称 ,资讯标题,简要,发布日期,SENTIMENT,来源,详细资讯,BUSI_TYPE,被投企业id
中国工商银行,专题研究丨2020年不良类ABS市场总结,"来源：REITs行业研究
2020年不良ABS发行单数与规模均实现显著增长，且自年初疫情爆发以来一跃成为受关注最多的债券品种。
全市场来看，截至2020年底，信贷ABS共发行184单，规模共计8,041.90亿，同比明显下滑。
对公类不良则是在经历去年的发行空白后重新兴起，共发行8单，发行金额59.55亿元，其中包含两单小微企业不良ABS。
从交易情况来看，不良ABS全年现券交易量为154.31亿元，同比增长69.83%，继续保持增长势头。
",2021/01/23 22:05,中性信息,新浪网,https://finance.sina.com.cn/money/fund/fundzmt/2021-01-23/doc-ikftssap0050204.shtml,VR,97A06DD5A8D36EB8E0532D89170AACAD
中国工商银行,专题研究丨2020年不良类ABS市场总结,"来源：REITs行业研究
2020年不良ABS发行单数与规模均实现显著增长，且自年初疫情爆发以来一跃成为受关注最多的债券品种。
全市场来看，截至2020年底，信贷ABS共发行184单，规模共计8,041.90亿，同比明显下滑。
对公类不良则是在经历去年的发行空白后重新兴起，共发行8单，发行金额59.55亿元，其中包含两单小微企业不良ABS。
从交易情况来看，不良ABS全年现券交易量为154.31亿元，同比增长69.83%，继续保持增长势头。
",2021/01/23 22:05,中性信息,新浪网,https://finance.sina.com.cn/money/fund/fundzmt/2021-01-23/doc-ikftssap0050204.shtml,VR,97A06DD5A8D16EB8E0532D89170AACAD
中国工商银行股份有限公司合肥双岗支行,专题研究丨2020年不良类ABS市场总结,"来源：REITs行业研究
2020年不良ABS发行单数与规模均实现显著增长，且自年初疫情爆发以来一跃成为受关注最多的债券品种。
全市场来看，截至2020年底，信贷ABS共发行184单，规模共计8,041.90亿，同比明显下滑。
对公类不良则是在经历去年的发行空白后重新兴起，共发行8单，发行金额59.55亿元，其中包含两单小微企业不良ABS。
从交易情况来看，不良ABS全年现券交易量为154.31亿元，同比增长69.83%，继续保持增长势头。
",2021/01/23 22:05,中性信息,新浪网,https://finance.sina.com.cn/money/fund/fundzmt/2021-01-23/doc-ikftssap0050204.shtml,VC,91100000100003962T
中国工商银行,专题研究丨2020年不良类ABS市场总结,"来源：REITs行业研究
2020年不良ABS发行单数与规模均实现显著增长，且自年初疫情爆发以来一跃成为受关注最多的债券品种。
全市场来看，截至2020年底，信贷ABS共发行184单，规模共计8,041.90亿，同比明显下滑。
对公类不良则是在经历去年的发行空白后重新兴起，共发行8单，发行金额59.55亿元，其中包含两单小微企业不良ABS。
从交易情况来看，不良ABS全年现券交易量为154.31亿元，同比增长69.83%，继续保持增长势头。
",2021/01/23 22:05,中性信息,新浪网,https://finance.sina.com.cn/money/fund/fundzmt/2021-01-23/doc-ikftssap0050204.shtml,VR,8EE06DB7AB6D4B77E0532D89170A6C67
中国工商银行股份有限公司总行营业部,专题研究丨2020年不良类ABS市场总结,"来源：REITs行业研究
2020年不良ABS发行单数与规模均实现显著增长，且自年初疫情爆发以来一跃成为受关注最多的债券品种。
全市场来看，截至2020年底，信贷ABS共发行184单，规模共计8,041.90亿，同比明显下滑。
对公类不良则是在经历去年的发行空白后重新兴起，共发行8单，发行金额59.55亿元，其中包含两单小微企业不良ABS。
从交易情况来看，不良ABS全年现券交易量为154.31亿元，同比增长69.83%，继续保持增长势头。
",2021/01/23 22:05,中性信息,新浪网,https://finance.sina.com.cn/money/fund/fundzmt/2021-01-23/doc-ikftssap0050204.shtml,VC,91110102801116169Y
中国工商银行股份有限公司,专题研究丨2020年不良类ABS市场总结,"来源：REITs行业研究
2020年不良ABS发行单数与规模均实现显著增长，且自年初疫情爆发以来一跃成为受关注最多的债券品种。
全市场来看，截至2020年底，信贷ABS共发行184单，规模共计8,041.90亿，同比明显下滑。
对公类不良则是在经历去年的发行空白后重新兴起，共发行8单，发行金额59.55亿元，其中包含两单小微企业不良ABS。
从交易情况来看，不良ABS全年现券交易量为154.31亿元，同比增长69.83%，继续保持增长势头。
",2021/01/23 22:05,中性信息,新浪网,https://finance.sina.com.cn/money/fund/fundzmt/2021-01-23/doc-ikftssap0050204.shtml,VC,91100000100003962T
工商银行投资部,专题研究丨2020年不良类ABS市场总结,"来源：REITs行业研究
2020年不良ABS发行单数与规模均实现显著增长，且自年初疫情爆发以来一跃成为受关注最多的债券品种。
全市场来看，截至2020年底，信贷ABS共发行184单，规模共计8,041.90亿，同比明显下滑。
对公类不良则是在经历去年的发行空白后重新兴起，共发行8单，发行金额59.55亿元，其中包含两单小微企业不良ABS。
从交易情况来看，不良ABS全年现券交易量为154.31亿元，同比增长69.83%，继续保持增长势头。
",2021/01/23 22:05,中性信息,新浪网,https://finance.sina.com.cn/money/fund/fundzmt/2021-01-23/doc-ikftssap0050204.shtml,VR,169c9c90a2b3c6bf6f2b1334528a5f4b
中国工商银行,专题研究丨2020年不良类ABS市场总结,"来源：REITs行业研究
2020年不良ABS发行单数与规模均实现显著增长，且自年初疫情爆发以来一跃成为受关注最多的债券品种。
全市场来看，截至2020年底，信贷ABS共发行184单，规模共计8,041.90亿，同比明显下滑。
对公类不良则是在经历去年的发行空白后重新兴起，共发行8单，发行金额59.55亿元，其中包含两单小微企业不良ABS。
从交易情况来看，不良ABS全年现券交易量为154.31亿元，同比增长69.83%，继续保持增长势头。
",2021/01/23 22:05,中性信息,新浪网,https://finance.sina.com.cn/money/fund/fundzmt/2021-01-23/doc-ikftssap0050204.shtml,VR,9851441AFBE28E43E0532B89170AF414
富士康工业互联网股份有限公司,“双福”的星辰大海：李书福“合纵”，王传福“连横”！,"最近，吉利控股董事长李书福接连卸任了两家公司的法人。
无独有偶，比亚迪董事长王传福在去年也一口气卸任了多家比亚迪子公司法人、董事长职务，从而引发了行业对比亚迪今后战略调整的一番猜想。
李书福在2021年新年致辞中表示，吉利汽车登陆科创板后将重启与沃尔沃汽车合并重组的讨论。
不过，王传福的“远忧”也并非没有。
有分析指出，如果汽车代工是未来路线，比亚迪必然切入，因为其在电动车上的整合制造能力显然要强于吉利富士康。
",2021/01/23 21:57,负面信息,汽车头条网,https://www.qctt.cn/news/917755,VC,914403003296132911
比亚迪股份有限公司,“双福”的星辰大海：李书福“合纵”，王传福“连横”！,"最近，吉利控股董事长李书福接连卸任了两家公司的法人。
无独有偶，比亚迪董事长王传福在去年也一口气卸任了多家比亚迪子公司法人、董事长职务，从而引发了行业对比亚迪今后战略调整的一番猜想。
李书福在2021年新年致辞中表示，吉利汽车登陆科创板后将重启与沃尔沃汽车合并重组的讨论。
不过，王传福的“远忧”也并非没有。
有分析指出，如果汽车代工是未来路线，比亚迪必然切入，因为其在电动车上的整合制造能力显然要强于吉利富士康。
",2021/01/23 21:57,负面信息,汽车头条网,https://www.qctt.cn/news/917755,VC,91440300192317458F
安信证券股份有限公司,两公司下周申购，这家长虹系公司“很便宜”！不过，精选层解禁潮也要来了！,"近期部分申报精选层的公司因财务报告到期需补充审计事项而申请中止审查，不过精选层发行节奏仍有条不紊地推进：下周一将有驱动力正式挂牌，同力股份和长虹能源也将于下周启动申购，其中长虹能源采用直接定价低市盈率发行，被称为“最具性价比打新”。
值得注意的是，1月22日晚间，贝特瑞公告其公开发行中800万股战投认购股份将于1月27日解除限售，占总股本的1.6482%。
值得注意的是，长虹能源此次精选层公开发行，获得了10家战略投资者的追捧，总共拟认购208万股。
在习青青看来，以往询价发行价格透支，后续定价发行价格过高，造成破发连连。
这16家公司中，从解禁绝对数量来看，最多的是颖泰生物，解禁股数为3000万股。
",2021/01/23 21:48,负面信息,证券时报网,http://company.stcn.com/gsxw/202101/t20210123_2766845.html,VC,91440300792573957K
北京颖泰嘉和生物科技股份有限公司,两公司下周申购，这家长虹系公司“很便宜”！不过，精选层解禁潮也要来了！,"近期部分申报精选层的公司因财务报告到期需补充审计事项而申请中止审查，不过精选层发行节奏仍有条不紊地推进：下周一将有驱动力正式挂牌，同力股份和长虹能源也将于下周启动申购，其中长虹能源采用直接定价低市盈率发行，被称为“最具性价比打新”。
值得注意的是，1月22日晚间，贝特瑞公告其公开发行中800万股战投认购股份将于1月27日解除限售，占总股本的1.6482%。
值得注意的是，长虹能源此次精选层公开发行，获得了10家战略投资者的追捧，总共拟认购208万股。
在习青青看来，以往询价发行价格透支，后续定价发行价格过高，造成破发连连。
这16家公司中，从解禁绝对数量来看，最多的是颖泰生物，解禁股数为3000万股。
",2021/01/23 21:48,负面信息,证券时报网,http://company.stcn.com/gsxw/202101/t20210123_2766845.html,CR,91110108777062155P
大连连城数控机器股份有限公司,两公司下周申购，这家长虹系公司“很便宜”！不过，精选层解禁潮也要来了！,"近期部分申报精选层的公司因财务报告到期需补充审计事项而申请中止审查，不过精选层发行节奏仍有条不紊地推进：下周一将有驱动力正式挂牌，同力股份和长虹能源也将于下周启动申购，其中长虹能源采用直接定价低市盈率发行，被称为“最具性价比打新”。
值得注意的是，1月22日晚间，贝特瑞公告其公开发行中800万股战投认购股份将于1月27日解除限售，占总股本的1.6482%。
值得注意的是，长虹能源此次精选层公开发行，获得了10家战略投资者的追捧，总共拟认购208万股。
在习青青看来，以往询价发行价格透支，后续定价发行价格过高，造成破发连连。
这16家公司中，从解禁绝对数量来看，最多的是颖泰生物，解禁股数为3000万股。
",2021/01/23 21:48,负面信息,证券时报网,http://company.stcn.com/gsxw/202101/t20210123_2766845.html,VC,91210200665825074T
顺丰控股股份有限公司,价值投资还是趋势投机？,"这永远是一个伪命题，看到一个个大v倒向市场确定性永续逻辑，现在市场只存在光伏，新能源，cxo及医疗服务，消费白酒这4个领域的集体狂欢，除此之外混的比较好的大v都是在非这几个领域不断新高的个股中，万华化学，顺丰控股，招商银行和东方雨虹等等。
最有意思的事情就是业绩出来，这些所谓好股票要么超预期，要么符合预期，要么利空出尽，反正都是好的。
如果新发基金就是要捧一个股，只要涨上去，想怎么说合理，我想都有办法吧。
",2021/01/23 21:45,中性信息,雪球网,https://xueqiu.com/4228611138/169685675,VC,91340500150660397M
招商银行股份有限公司,价值投资还是趋势投机？,"这永远是一个伪命题，看到一个个大v倒向市场确定性永续逻辑，现在市场只存在光伏，新能源，cxo及医疗服务，消费白酒这4个领域的集体狂欢，除此之外混的比较好的大v都是在非这几个领域不断新高的个股中，万华化学，顺丰控股，招商银行和东方雨虹等等。
最有意思的事情就是业绩出来，这些所谓好股票要么超预期，要么符合预期，要么利空出尽，反正都是好的。
如果新发基金就是要捧一个股，只要涨上去，想怎么说合理，我想都有办法吧。
",2021/01/23 21:45,中性信息,雪球网,https://xueqiu.com/4228611138/169685675,VC,9144030010001686XA
安信证券股份有限公司,安信证券-商贸零售行业：如何看华熙生物功能性食品成长空间？~始于玻尿酸，不止于玻尿酸-21…,"推荐给朋友
1. 用户直接或通过各类方式间接使用慧博投研资讯所提供的服务和数据的行为，都将被视作已无条件接受本声明所涉全部内容；若用户对本声明的任何条款有异议，请停止使用慧博投研资讯所提供的全部服务。
2. 用户需知，研报资料由网友上传，所有权归上传网友所有，慧博投研资讯仅提供存放服务，慧博投研资讯不保证资料内容的合法性、正确性、完整性、真实性或品质；
",2021/01/23 21:24,负面信息,慧博,http://www.hibor.com.cn/data/38949f3648f104141988fb068a8b970f.html,VC,91440300792573957K
浦发银行,【券商聚焦】大和认为比亚迪增发H股可降低净财务费用；建银国际看好中国飞鹤农历年期间表现,"今日机构评级汇总
建银国际表示，尽管冬季疫情在中国再度恶化，但指公司于去年第一季封城时期，表现仍然较同业为好，认为公司在疫情期间仍能维持高速增长，从而令其股份获得重估，预期公司在农历年期间将有较佳表现。
该行指，网龙对比起其他游戏开发公司收入增长较慢，主要由于其新游戏延期推出及PC游戏业务已成熟。
该行指出，在高基数效应下今年全年雷蛇硬件收入将仅以个位数增长，但认为此垂直领域在未来十年内将可持续录得双位数增幅，将2020至2021财年销售额预测分别上调6.9%及1%，目标价由3港元上调至3.5港元，予“买入”评级。
浦发银行发表研究报告，维持药明生物(02269.HK)买入评级，目标价升至 133.0 港元。
",2021/01/23 20:44,正面信息,和讯网,http://auto.hexun.com/2021-01-23/202887631.html,VR,985025DE1CDC01E6E0532D89170A4100
浦发银行,【券商聚焦】大和认为比亚迪增发H股可降低净财务费用；建银国际看好中国飞鹤农历年期间表现,"今日机构评级汇总
建银国际表示，尽管冬季疫情在中国再度恶化，但指公司于去年第一季封城时期，表现仍然较同业为好，认为公司在疫情期间仍能维持高速增长，从而令其股份获得重估，预期公司在农历年期间将有较佳表现。
该行指，网龙对比起其他游戏开发公司收入增长较慢，主要由于其新游戏延期推出及PC游戏业务已成熟。
该行指出，在高基数效应下今年全年雷蛇硬件收入将仅以个位数增长，但认为此垂直领域在未来十年内将可持续录得双位数增幅，将2020至2021财年销售额预测分别上调6.9%及1%，目标价由3港元上调至3.5港元，予“买入”评级。
浦发银行发表研究报告，维持药明生物(02269.HK)买入评级，目标价升至 133.0 港元。
",2021/01/23 20:44,正面信息,和讯网,http://auto.hexun.com/2021-01-23/202887631.html,VR,985002070687D612E0532B89170AB296
浦发银行,【券商聚焦】大和认为比亚迪增发H股可降低净财务费用；建银国际看好中国飞鹤农历年期间表现,"今日机构评级汇总
建银国际表示，尽管冬季疫情在中国再度恶化，但指公司于去年第一季封城时期，表现仍然较同业为好，认为公司在疫情期间仍能维持高速增长，从而令其股份获得重估，预期公司在农历年期间将有较佳表现。
该行指，网龙对比起其他游戏开发公司收入增长较慢，主要由于其新游戏延期推出及PC游戏业务已成熟。
该行指出，在高基数效应下今年全年雷蛇硬件收入将仅以个位数增长，但认为此垂直领域在未来十年内将可持续录得双位数增幅，将2020至2021财年销售额预测分别上调6.9%及1%，目标价由3港元上调至3.5港元，予“买入”评级。
浦发银行发表研究报告，维持药明生物(02269.HK)买入评级，目标价升至 133.0 港元。
",2021/01/23 20:44,正面信息,和讯网,http://auto.hexun.com/2021-01-23/202887631.html,VR,985002070689D612E0532B89170AB296
比亚迪股份有限公司,【券商聚焦】大和认为比亚迪增发H股可降低净财务费用；建银国际看好中国飞鹤农历年期间表现,"今日机构评级汇总
建银国际表示，尽管冬季疫情在中国再度恶化，但指公司于去年第一季封城时期，表现仍然较同业为好，认为公司在疫情期间仍能维持高速增长，从而令其股份获得重估，预期公司在农历年期间将有较佳表现。
该行指，网龙对比起其他游戏开发公司收入增长较慢，主要由于其新游戏延期推出及PC游戏业务已成熟。
该行指出，在高基数效应下今年全年雷蛇硬件收入将仅以个位数增长，但认为此垂直领域在未来十年内将可持续录得双位数增幅，将2020至2021财年销售额预测分别上调6.9%及1%，目标价由3港元上调至3.5港元，予“买入”评级。
浦发银行发表研究报告，维持药明生物(02269.HK)买入评级，目标价升至 133.0 港元。
",2021/01/23 20:44,正面信息,和讯网,http://auto.hexun.com/2021-01-23/202887631.html,VC,91440300192317458F
浦发银行,【券商聚焦】大和认为比亚迪增发H股可降低净财务费用；建银国际看好中国飞鹤农历年期间表现,"今日机构评级汇总
建银国际表示，尽管冬季疫情在中国再度恶化，但指公司于去年第一季封城时期，表现仍然较同业为好，认为公司在疫情期间仍能维持高速增长，从而令其股份获得重估，预期公司在农历年期间将有较佳表现。
该行指，网龙对比起其他游戏开发公司收入增长较慢，主要由于其新游戏延期推出及PC游戏业务已成熟。
该行指出，在高基数效应下今年全年雷蛇硬件收入将仅以个位数增长，但认为此垂直领域在未来十年内将可持续录得双位数增幅，将2020至2021财年销售额预测分别上调6.9%及1%，目标价由3港元上调至3.5港元，予“买入”评级。
浦发银行发表研究报告，维持药明生物(02269.HK)买入评级，目标价升至 133.0 港元。
",2021/01/23 20:44,正面信息,和讯网,http://auto.hexun.com/2021-01-23/202887631.html,VR,985025DE1CDA01E6E0532D89170A4100
湖北振华化学股份有限公司,2020年石油和化工行业十大新闻之七：化工园区认定..,"1月16日，以“向社会讲好化工故事”为主题的2020年度中国石油和化工行业十大新闻暨影响力人物发布盛典采用线上直播方式举行。
",2021/01/23 20:44,中性信息,澎湃新闻,https://m.thepaper.cn/baijiahao_10914683,VC,91420200178435765F
比亚迪股份有限公司,周涨10%+，5年3倍+，她们是怎么赚到的？【赵蓓、葛兰的投资策略】,"来源：基少成多
本次上涨，一方面是医疗前期调整大、时间长，另一方面是疫情零星爆发，有扩散趋势。
基金经理认为，决定估值到底向上还是向下波动的，是景气度。
基金公司组织测算不同细分子行业到2027年的占比。
投资策略：从中观入手，优选高景气行业，同时，善于把握行业拐点，在行业见底左侧逐步买入，也在见顶左侧逐步卖出。
",2021/01/23 20:30,正面信息,新浪网,https://finance.sina.com.cn/money/fund/fundzmt/2021-01-23/doc-ikftssap0030812.shtml,VC,91440300192317458F
招商银行股份有限公司,重庆银行的回归A股正式进入倒计时读秒阶段,"回归A股，应者景从。
重庆银行受到追捧，有一个很重要的因素，那就是这家银行的底色。
可以预见的是，在中签的投资者缴款后，重庆银行的回归A股正式进入倒计时读秒阶段。
目前，A股的市场氛围还是非常有利于银行股上市的。
",2021/01/23 20:17,正面信息,中国投资咨询网,http://www.ocn.com.cn/jinrong/202101/uzlsb23201334.shtml,VC,9144030010001686XA
中国移动,2021年中国5G建设力度不减有望迎来“换机潮”,"2021年01月23日 20:14来源：中国新闻网
中新社北京1月23日电 (记者 刘育英)2020年疫情拖延全球5G建设之际，中国5G建设仍力度不减。
在目前建设速度下，2021年中国5G手机市场有望迎来井喷。
高通认为，中国市场5G手机开始大批量进入1000元至3000元的中低价位区间，会促进5G手机市场进一步扩大。
中国消费者也是全球升级5G意愿最强的消费者群体之一。
",2021/01/23 20:14,中性信息,中国新闻网,http://www.chinanews.com/it/2021/01-23/9394817.shtml,VR,169c9c34371b6df92f69c3d456a8fec4
万华化学集团股份有限公司,东北证券-万华化学-600309-入股华陆公司，合作共赢推动高成长发展-210122,"日期：2021-01-23 20:05:12研报出处：东北证券
1. 用户直接或通过各类方式间接使用慧博投研资讯所提供的服务和数据的行为，都将被视作已无条件接受本声明所涉全部内容；若用户对本声明的任何条款有异议，请停止使用慧博投研资讯所提供的全部服务。
",2021/01/23 20:06,正面信息,慧博,http://www.hibor.com.cn/data/9dfeb8d001228e198d802c6a539372b0.html,VC,91370000163044841F
中国工商银行股份有限公司总行投行部,牛年贺岁纪念币来啦！上海地区开启线上预约,"中国人民银行定于1月29日起发行2021年贺岁普通纪念币（以下简称“贺岁币”）1枚，面额10元。
根据上海市政府疫情防控要求，如须对贺岁币预约兑换相关事项调整，中国人民银行上海分行将另行公告。
兑换期结束后，贺岁币如有剩余，将由中国人民银行和中国工商银行承销团另行安排。
将硬币倾斜适当角度，可在正面面额数字“10”的轮廓线内，观察到两组由3个“10”“rmb”构成的隐形图文。
在硬币正面面额数字“10”的底端，可观察到“rmb 10 yuan”的微缩文字。
",2021/01/23 20:05,中性信息,上观网,https://sghexport.shobserver.com/html/baijiahao/2021/01/23/343457.html,VR,876AD13F60EB1CFAE0532B89170AC4E7
中国工商银行,牛年贺岁纪念币来啦！上海地区开启线上预约,"中国人民银行定于1月29日起发行2021年贺岁普通纪念币（以下简称“贺岁币”）1枚，面额10元。
根据上海市政府疫情防控要求，如须对贺岁币预约兑换相关事项调整，中国人民银行上海分行将另行公告。
兑换期结束后，贺岁币如有剩余，将由中国人民银行和中国工商银行承销团另行安排。
将硬币倾斜适当角度，可在正面面额数字“10”的轮廓线内，观察到两组由3个“10”“rmb”构成的隐形图文。
在硬币正面面额数字“10”的底端，可观察到“rmb 10 yuan”的微缩文字。
",2021/01/23 20:05,中性信息,上观网,https://sghexport.shobserver.com/html/baijiahao/2021/01/23/343457.html,VR,9851441AFBE08E43E0532B89170AF414
