被投企业名称 ,资讯标题,简要,发布日期,SENTIMENT,来源,详细资讯,BUSI_TYPE,被投企业id
中兴通讯股份有限公司,智通港股公告精选︱(1.22)珠海控股投资获珠海九洲控股溢价37.84%提私有化 1月25日复牌,"2021年1月22日 23:09:30
珠海控股投资(00908)获珠海九洲控股溢价37.84%提私有化 1月25日复牌
重庆银行(01963)：A股网上发行最终中签率为0.11151561%
中国生物科技服务(08037)：LY007细胞注射液临床试验申请获批
中国生物制药(01177)抗肿瘤药“注射用硼替佐米”获通过一致性评价
",2021/01/22 23:20,负面信息,智通财经,https://www.zhitongcaijing.com/content/detail/398790.html,VC,9144030027939873X7
中信银行股份有限公司合肥徽州大道支行,智通港股公告精选︱(1.22)珠海控股投资获珠海九洲控股溢价37.84%提私有化 1月25日复牌,"2021年1月22日 23:09:30
珠海控股投资(00908)获珠海九洲控股溢价37.84%提私有化 1月25日复牌
重庆银行(01963)：A股网上发行最终中签率为0.11151561%
中国生物科技服务(08037)：LY007细胞注射液临床试验申请获批
中国生物制药(01177)抗肿瘤药“注射用硼替佐米”获通过一致性评价
",2021/01/22 23:20,负面信息,智通财经,https://www.zhitongcaijing.com/content/detail/398790.html,VC,913401006836204197
中国中信有限公司,智通港股公告精选︱(1.22)珠海控股投资获珠海九洲控股溢价37.84%提私有化 1月25日复牌,"2021年1月22日 23:09:30
珠海控股投资(00908)获珠海九洲控股溢价37.84%提私有化 1月25日复牌
重庆银行(01963)：A股网上发行最终中签率为0.11151561%
中国生物科技服务(08037)：LY007细胞注射液临床试验申请获批
中国生物制药(01177)抗肿瘤药“注射用硼替佐米”获通过一致性评价
",2021/01/22 23:20,负面信息,智通财经,https://www.zhitongcaijing.com/content/detail/398790.html,VC,911100007178317092
中信银行股份有限公司,智通港股公告精选︱(1.22)珠海控股投资获珠海九洲控股溢价37.84%提私有化 1月25日复牌,"2021年1月22日 23:09:30
珠海控股投资(00908)获珠海九洲控股溢价37.84%提私有化 1月25日复牌
重庆银行(01963)：A股网上发行最终中签率为0.11151561%
中国生物科技服务(08037)：LY007细胞注射液临床试验申请获批
中国生物制药(01177)抗肿瘤药“注射用硼替佐米”获通过一致性评价
",2021/01/22 23:20,负面信息,智通财经,https://www.zhitongcaijing.com/content/detail/398790.html,VC,91110000101690725E
中信银行股份有限公司合肥徽州大道支行,格隆汇港股聚焦(01.22)︱华润啤酒年度纯利大幅预增与50%；中信银行2020年度初步净利489.8亿元,"【财务数据】
中信证券(06030.HK)业绩快报：2020年度净利润升21.82%至148.97亿元
中信建投证券(06066.HK)业绩快报：2020年度净利润升72.85%至95.09亿元
中信银行(00998.HK)2020年度业绩快报：净利489.80亿元 同比增长2.01%
中兴通讯(00763.HK)2020年度业绩快报：净利43.67亿元 同比减少15.18%
",2021/01/22 23:16,负面信息,格隆汇,https://www.gelonghui.com/p/441934,VC,913401006836204197
中信银行股份有限公司,格隆汇港股聚焦(01.22)︱华润啤酒年度纯利大幅预增与50%；中信银行2020年度初步净利489.8亿元,"【财务数据】
中信证券(06030.HK)业绩快报：2020年度净利润升21.82%至148.97亿元
中信建投证券(06066.HK)业绩快报：2020年度净利润升72.85%至95.09亿元
中信银行(00998.HK)2020年度业绩快报：净利489.80亿元 同比增长2.01%
中兴通讯(00763.HK)2020年度业绩快报：净利43.67亿元 同比减少15.18%
",2021/01/22 23:16,负面信息,格隆汇,https://www.gelonghui.com/p/441934,VC,91110000101690725E
中兴通讯股份有限公司,格隆汇港股聚焦(01.22)︱华润啤酒年度纯利大幅预增与50%；中信银行2020年度初步净利489.8亿元,"【财务数据】
中信证券(06030.HK)业绩快报：2020年度净利润升21.82%至148.97亿元
中信建投证券(06066.HK)业绩快报：2020年度净利润升72.85%至95.09亿元
中信银行(00998.HK)2020年度业绩快报：净利489.80亿元 同比增长2.01%
中兴通讯(00763.HK)2020年度业绩快报：净利43.67亿元 同比减少15.18%
",2021/01/22 23:16,负面信息,格隆汇,https://www.gelonghui.com/p/441934,VC,9144030027939873X7
比亚迪股份有限公司,动力电池上游材料：缺货 缺货 缺货！,"新年伊始，满产排产、缺货涨价、加紧投扩产等成为锂电上游材料发展关键词。
近期，高工锂电也从头部电池企业的材料供应商处获悉，由于订单饱满，加班生产已成常态，准备过年无休。
近期，宁德时代董事长曾毓群公开指出，从2021年开始，全球锂电池市场需求将有明显提升，但目前来看，全产业链的产能供给相对较慢，有效供给不足。
近日国内某贸易商对电池级碳酸锂甚至报出了8万元/吨的高价，较主流报价高出1.8万元/吨。
一线电解液厂商表示，现在电解液厂商考虑的不是价格问题，而是原材料供不供得上的问题。
",2021/01/22 23:01,负面信息,雪球网,https://xueqiu.com/7862386466/169626270,VC,91440300192317458F
中国建筑股份有限公司,每经23点 | 梅州发生1例非洲猪瘟疫情,"每经23点|市场监管总局依法对中国建筑玻璃与工业玻璃协会涉嫌组织部分玻璃企业达成垄断协议行为立案调查；梅州发生1例非洲猪瘟疫情
每经AI快讯，1月22日，近日，市场监管总局根据举报，依法对中国建筑玻璃与工业玻璃协会涉嫌组织部分玻璃企业达成垄断协议行为立案调查。
广东省农业农村厅22日通报称，梅州市平远县1月21日发生1例违规调运输入的非洲猪瘟疫情。
当地时间1月22日，菲律宾总统发言人哈里·洛克宣布，菲新发传染病管理机构间工作组(IATF-EID)22日通过第95号决议，修改针对出现新冠病毒变种国家和地区旅客的旅行禁令，允许持有效签证的外国人入境菲律宾，包括菲认可的国际组织的人员以及菲律宾公民的配偶和未成年子女，但要求其遵守严格的卫生和检疫协议。
",2021/01/22 23:00,负面信息,每经网,http://www.nbd.com.cn/articles/2021-01-22/1607356.html,VC,911100007109351850
联想集团有限公司,视界·阅评丨一本有警示借鉴意义的专著，评《中国跨国..,"《中国跨国公司对外直接投资政治风险研究》
《中国跨国公司对外直接投资政治风险研究》（以下简称《风险研究》）围绕“政治风险”这一核心概念对中国跨国公司对外直接投资的历史现状及政治风险的识别评估与应对进行探讨，并结合相关的典型案例，从博弈论视角分析中国跨国公司对外直接投资政治风险产生的缘由及其生成过程中主要利益相关者的复杂博弈关系。
在这样的大背景下，从我国实施“六稳”“六保”举措、中美贸易摩擦、大国关系紧张、国际地缘政治局势变化，尤其是特朗普政府最近推出一系列违反国际法的打压中国正当发展的动作等角度来看，《风险研究》一书有较强的现实意义。
在“中国跨国公司对伊朗直接投资分析”（p97）一节中，作者既介绍了中伊双边经贸合作关系源远流长（p101），也分析了当前国际能源体系与中国对伊朗能源投资现状（p98）。
",2021/01/22 22:53,中性信息,上观网,https://sghexport.shobserver.com/html/baijiahao/2021/01/22/342279.html,VR,16e7dda45b16247935bbe4740b290d89
联想集团有限公司,视界·阅评丨一本有警示借鉴意义的专著，评《中国跨国..,"《中国跨国公司对外直接投资政治风险研究》
《中国跨国公司对外直接投资政治风险研究》（以下简称《风险研究》）围绕“政治风险”这一核心概念对中国跨国公司对外直接投资的历史现状及政治风险的识别评估与应对进行探讨，并结合相关的典型案例，从博弈论视角分析中国跨国公司对外直接投资政治风险产生的缘由及其生成过程中主要利益相关者的复杂博弈关系。
在这样的大背景下，从我国实施“六稳”“六保”举措、中美贸易摩擦、大国关系紧张、国际地缘政治局势变化，尤其是特朗普政府最近推出一系列违反国际法的打压中国正当发展的动作等角度来看，《风险研究》一书有较强的现实意义。
在“中国跨国公司对伊朗直接投资分析”（p97）一节中，作者既介绍了中伊双边经贸合作关系源远流长（p101），也分析了当前国际能源体系与中国对伊朗能源投资现状（p98）。
",2021/01/22 22:53,中性信息,上观网,https://sghexport.shobserver.com/html/baijiahao/2021/01/22/342279.html,VR,16e7dddd6466f4d3a47a34d43ca95bdd
联想（北京）有限公司,视界·阅评丨一本有警示借鉴意义的专著，评《中国跨国..,"《中国跨国公司对外直接投资政治风险研究》
《中国跨国公司对外直接投资政治风险研究》（以下简称《风险研究》）围绕“政治风险”这一核心概念对中国跨国公司对外直接投资的历史现状及政治风险的识别评估与应对进行探讨，并结合相关的典型案例，从博弈论视角分析中国跨国公司对外直接投资政治风险产生的缘由及其生成过程中主要利益相关者的复杂博弈关系。
在这样的大背景下，从我国实施“六稳”“六保”举措、中美贸易摩擦、大国关系紧张、国际地缘政治局势变化，尤其是特朗普政府最近推出一系列违反国际法的打压中国正当发展的动作等角度来看，《风险研究》一书有较强的现实意义。
在“中国跨国公司对伊朗直接投资分析”（p97）一节中，作者既介绍了中伊双边经贸合作关系源远流长（p101），也分析了当前国际能源体系与中国对伊朗能源投资现状（p98）。
",2021/01/22 22:53,中性信息,上观网,https://sghexport.shobserver.com/html/baijiahao/2021/01/22/342279.html,VC,91110108700000458B
华泰证券（上海）资产管理有限公司,牛市中上市券商有多赚钱？两大龙头年报双双预喜！,"每日经济新闻2021-01-22 22:53:04
◎尽管业绩多数报喜，但券商板块今年以来股价表现差异巨大。
中信证券三季报显示，前三季度中信证券实现净利润126.61亿元，同比增长20.32%。
目前来看，业绩弹性最高的是参股华鑫证券的华鑫股份。
申港证券指出，当下证券板块属于周期属性，因为注册制改革尚未能够带来收入结构质变。
",2021/01/22 22:53,负面信息,每经网,http://www.nbd.com.cn/articles/2021-01-22/1607363.html,LP,91310000312590222J
华泰证券（上海）资产管理有限公司,华泰证券-机械设备行业：定量分析汇率波动对机械出口企业的利润影响， 人民币升值对机械出…,"华泰证券-机械设备行业：定量分析汇率波动对机械出口企业的利润影响， 人民币升值对机械出口企业影响几何-210122
1. 用户直接或通过各类方式间接使用慧博投研资讯所提供的服务和数据的行为，都将被视作已无条件接受本声明所涉全部内容；若用户对本声明的任何条款有异议，请停止使用慧博投研资讯所提供的全部服务。
2. 用户需知，研报资料由网友上传，所有权归上传网友所有，慧博投研资讯仅提供存放服务，慧博投研资讯不保证资料内容的合法性、正确性、完整性、真实性或品质；
",2021/01/22 22:46,中性信息,慧博,http://www.hibor.com.cn/data/fcc6931bb8d245257526b8d76705fc9e.html,LP,91310000312590222J
比亚迪股份有限公司,比亚迪中标智利电动出租车置换项目,"【比亚迪中标智利电动出租车置换项目】记者22日从比亚迪股份有限公司了解到，该公司纯电动车型e5中标智利一项电动出租车置换项目。
比亚迪获得第一阶段唯一供货商资格，将向智利方面提供50辆e5纯电动车。
（新华财经）
",2021/01/22 22:46,正面信息,雪球网,https://xueqiu.com/5124430882/169631373,VC,91440300192317458F
华泰证券（上海）资产管理有限公司,华泰证券-恒立液压-601100-业绩预增58~77%，泵阀份额持续提升-210122,"日期：2021-01-22 22:42:42研报出处：华泰证券
1. 用户直接或通过各类方式间接使用慧博投研资讯所提供的服务和数据的行为，都将被视作已无条件接受本声明所涉全部内容；若用户对本声明的任何条款有异议，请停止使用慧博投研资讯所提供的全部服务。
",2021/01/22 22:44,正面信息,慧博,http://www.hibor.com.cn/data/8cd5c8d0cbbd556cbf60b9f6bd4f9281.html,LP,91310000312590222J
内蒙古伊利实业集团股份有限公司,「未读」你有一封年会的会议纪要，请查收,"岁末年初，又到年会季。
面对不平凡的2020年，伊利在年初率先进行企业文化升级，重磅推出伊利文化5.0，营造“卓越、担当、创新、共赢、尊重”的文化氛围，引领员工与企业携手创造美好的未来。
正如伊利集团董事长潘刚所说，正是对健康事业的热爱与执着、对伊利文化的践行与传承、对美好未来的憧憬与追求，让全体伊利人汇聚起了磅礴的力量，推动着伊利不断向前。
伊利的关爱如涓涓细流，激励全体伊利人凝心聚力，逆势创造了属于伊利人的非凡2020：前三季度业绩呈现逆势增长，提前跻身“全球乳业五强”，品牌价值跃居“全球乳业第一”，率先开启“后千亿时代”，与亿万消费者共享健康未来。
伊利关爱员工的行动并不是疫情期间的特色，而是根植于企业文化之中。
",2021/01/22 22:41,中性信息,搜狐网,https://www.sohu.com/a/446206720_214105,VC,91150000114124263Y
广州越秀金融控股集团有限公司,越秀金控：2020年净利润预增101%-106%,"1月22日，越秀金控发布业绩预告，预计2020年盈利45.4亿-46.6亿元，同比增长101%–106%。
扣除非经常性损益后盈利15.1亿-16.3亿元，比上年同期增长13%-23%。
公告称，本年度非经常性损益大幅增加，主要是公司出售广州证券100%股权确认投资收益32.8亿元。
",2021/01/22 22:41,正面信息,搜狐网,https://www.sohu.com/a/446208122_114988,LP,91440101190479672H
广州证券股份有限公司,越秀金控：2020年净利润预增101%-106%,"1月22日，越秀金控发布业绩预告，预计2020年盈利45.4亿-46.6亿元，同比增长101%–106%。
扣除非经常性损益后盈利15.1亿-16.3亿元，比上年同期增长13%-23%。
公告称，本年度非经常性损益大幅增加，主要是公司出售广州证券100%股权确认投资收益32.8亿元。
",2021/01/22 22:41,正面信息,搜狐网,https://www.sohu.com/a/446208122_114988,CR,91440101190660172H 
广州越秀金融控股集团股份有限公司,越秀金控：2020年净利润预增101%-106%,"1月22日，越秀金控发布业绩预告，预计2020年盈利45.4亿-46.6亿元，同比增长101%–106%。
扣除非经常性损益后盈利15.1亿-16.3亿元，比上年同期增长13%-23%。
公告称，本年度非经常性损益大幅增加，主要是公司出售广州证券100%股权确认投资收益32.8亿元。
",2021/01/22 22:41,正面信息,搜狐网,https://www.sohu.com/a/446208122_114988,VC,914401011904817725
上海眼控科技股份有限公司,职业董秘10年两个IPO已财富自由 现在和前东家合伙投资拟上市公司,"炒股就看金麒麟分析师研报，权威，专业，及时，全面，助您挖掘潜力主题机会！
上海眼控科技股份有限公司也于近日完成了新一轮亿元融资，未来肯定也是朝着上市去的。
资料显示，王家庚，1980年12月出生，毕业于山东经济学院（2012年更名为山东财经大学），工商管理专业，本科学历。
2010年，来到IPO公司金雷股份，担任副总兼董秘，正式开始了职业董秘生涯。
虽然人离开泰和科技，但是现在又开始拉着前东家泰和科技一起投资起了拟上市公司，一投就是三家公司。
",2021/01/22 22:40,负面信息,新浪网,https://finance.sina.com.cn/stock/hyyj/2021-01-22/doc-ikftssan9725871.shtml,CR,91310000692991393N
中兴通讯股份有限公司,中兴通讯2020年实现净利43.67亿元,"主要由于2019年第三季度资产处置带来一次性税前收益26.62亿元，较大增加2019年度净利润所致。
",2021/01/22 22:36,中性信息,中国证券网,https://ggjd.cnstock.com/company/scp_ggjd/tjd_ggkx/202101/4649943.htm,VC,9144030027939873X7
科顺防水科技股份有限公司,下周解禁市值环比降至305.7亿元,"本报讯(记者 陈慧) Wind数据显示，下周沪深两市限售股上市数量共计31.3亿股，以1月22日收盘价计算，市值约为305.7亿元，较本周环比下降。
在下周涉及解禁的26只个股中，有5家公司限售股数量超过1亿股，分别是石化油服的15.27亿股、银泰黄金的7.55亿股、爱建集团的1.85亿股、科顺股份的1.64亿股和张家港行的1.09亿股。
Wind数据显示，银泰黄金将有7.55亿股在1月25日限售到期。
",2021/01/22 22:32,负面信息,证券之星,https://stock.stockstar.com/IG2021012200006143.shtml,CR,91440606231959841B
隆基绿能科技股份有限公司,南下资金谋求“港股定价权”胜算如何？质疑四起，基金经理称主战场仍在A股，抱团股似又重来,"就在部分机构鼓噪数千亿资金挥师南下，欲夺“港股定价权”之时，来自另外一些机构的质疑声也开始在市场萌动、发酵并掀起涟漪。
随后，中金公司、国泰君安等券商研报推波助澜。
WIND信息显示，截止1月21日，年内已发行80只基金，累计发行份额3718亿份。
上述基金经理的这番言辞颇具代表性。
东方基金权益研究部副总经理、基金经理王然在四季报中称。
",2021/01/22 22:31,负面信息,财联社,https://www.cls.cn/detail/670561,VC,916101167101813521
比亚迪股份有限公司,南下资金谋求“港股定价权”胜算如何？质疑四起，基金经理称主战场仍在A股，抱团股似又重来,"就在部分机构鼓噪数千亿资金挥师南下，欲夺“港股定价权”之时，来自另外一些机构的质疑声也开始在市场萌动、发酵并掀起涟漪。
随后，中金公司、国泰君安等券商研报推波助澜。
WIND信息显示，截止1月21日，年内已发行80只基金，累计发行份额3718亿份。
上述基金经理的这番言辞颇具代表性。
东方基金权益研究部副总经理、基金经理王然在四季报中称。
",2021/01/22 22:31,负面信息,财联社,https://www.cls.cn/detail/670561,VC,91440300192317458F
中国东方资产管理股份有限公司,泰禾“自救术”：封闭管理与逐个击破,"来源：时间财经
近日，据媒体报道，泰禾集团股份有限公司（简称“泰禾集团”）债务重组取得阶段性进展，已与兴业银行、东方资产等金融机构达成协议。
实际上，早在2019年下半年，就有消息称泰禾集团“在着手引入战投”。
此外，1月4日泰禾集团公告称，因金融借款合同纠纷，四川信托、浙商金汇信托向公司及相关当事人提起诉讼。
据悉，截至2020年7月7日，泰禾集团年内到期债务中，信托公司贷款到期金额占比达到46.64%。
",2021/01/22 22:30,负面信息,新浪网,https://finance.sina.com.cn/stock/estate/integration/2021-01-22/doc-ikftssan9727614.shtml,LP,911100007109254543
